strategy,timeframe,lockedStopLoss,tierLabel,tier1Target,tier2Target,tier3Target,confidence,netPnl,trades,winRate,maxDrawdown,profitFactor,expectancy,avgWin,avgLoss,fees,elapsed
EMASMACrossover,,0.5,wide,0.01,0.015,0.02,0.4,-3641.01,2193,15.37,36.41,0.11,-1.66,1.36,-2.21,3289.50,1610.0
MADynamicSR,,0.8,tight,0.005,0.01,0.015,0.4,-3676.21,2269,9.26,36.76,0.08,-1.62,1.54,-1.94,3403.50,1631.2
MADynamicSR,,0.8,default,0.007,0.01,0.015,0.4,-3676.21,2269,9.26,36.76,0.08,-1.62,1.54,-1.94,3403.50,1626.3
MADynamicSR,,0.8,wide,0.01,0.015,0.02,0.4,-3676.21,2269,9.26,36.76,0.08,-1.62,1.54,-1.94,3403.50,1673.4
EMASMACrossover,,0.5,tight,0.005,0.01,0.015,0.55,-4031.36,2285,10.77,40.31,0.08,-1.76,1.36,-2.14,3427.50,1618.9
EMASMACrossover,,0.5,default,0.007,0.01,0.015,0.55,-4031.36,2285,10.77,40.31,0.08,-1.76,1.36,-2.14,3427.50,1629.5
EMASMACrossover,,0.5,wide,0.01,0.015,0.02,0.55,-4031.36,2285,10.77,40.31,0.08,-1.76,1.36,-2.14,3427.50,1702.5
EMASMACrossover,,0.5,tight,0.005,0.01,0.015,0.4,-4405.20,2669,9.10,44.05,0.08,-1.65,1.57,-1.97,4003.50,1724.3
EMASMACrossover,,0.5,default,0.007,0.01,0.015,0.4,-4405.20,2669,9.10,44.05,0.08,-1.65,1.57,-1.97,4003.50,1662.3
EMASMACrossover,,0.5,wide,0.01,0.015,0.02,0.4,-4405.20,2669,9.10,44.05,0.08,-1.65,1.57,-1.97,4003.50,1698.0
MADynamicSR,,0.8,tight,0.005,0.01,0.015,0.4,-4428.31,2712,5.68,44.28,0.05,-1.63,1.62,-1.83,4068.00,1755.0
MADynamicSR,,0.8,default,0.007,0.01,0.015,0.4,-4428.31,2712,5.68,44.28,0.05,-1.63,1.62,-1.83,4068.00,1691.0
MADynamicSR,,0.8,wide,0.01,0.015,0.02,0.4,-4428.31,2712,5.68,44.28,0.05,-1.63,1.62,-1.83,4068.00,1712.2
MADynamicSR,,0.8,tight,0.005,0.01,0.015,0.4,-4817.20,2969,3.84,48.17,0.04,-1.62,1.83,-1.76,4453.50,1879.0
MADynamicSR,,0.8,default,0.007,0.01,0.015,0.4,-4817.20,2969,3.84,48.17,0.04,-1.62,1.83,-1.76,4453.50,1826.8
MADynamicSR,,0.8,wide,0.01,0.015,0.02,0.4,-4817.20,2969,3.84,48.17,0.04,-1.62,1.83,-1.76,4453.50,1813.0
EMASMACrossover,,0.5,tight,0.005,0.01,0.015,0.4,-5073.65,3016,6.07,50.74,0.04,-1.68,1.18,-1.87,4524.00,1779.7
EMASMACrossover,,0.5,default,0.007,0.01,0.015,0.4,-5073.65,3016,6.07,50.74,0.04,-1.68,1.18,-1.87,4524.00,1796.2
EMASMACrossover,,0.5,wide,0.01,0.015,0.02,0.4,-5073.65,3016,6.07,50.74,0.04,-1.68,1.18,-1.87,4524.00,1867.4
